"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R22,R14,R15,R20,R21,R23";"R_0603_HandSoldering";6;"330";;;
2;"U1";"HX1_Horizontal";1;"HX1";;;
3;"L2";"Inductor_Wurth_HCI-7040";1;"4.7µH";;;
4;"U5";"ETSSOP-20-1EP_4.4x6.5mm_Pitch0.65mm";1;"LTC3112";;;
5;"P4,P6,P3,P2,P5";"SMA_Edge";5;"BNC";;;
6;"P1";"Socket_Strip_Straight_2x20";1;"CONN_02X20";;;
7;"REF**,REF**,REF**,REF**";"MountingHole_2.75mm";4;"MountingHole_2.75mm";;;
8;"C10";"C_1206_HandSoldering";1;"10µ";;;
9;"C17";"C_1206_HandSoldering";1;"47µ";;;
10;"L1";"R_0805_HandSoldering";1;"33nH";;;
11;"Q1";"SOT-23_Handsoldering";1;"Q_PMOS_DGS";;;
12;"U7";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MCP3426";;;
13;"C3,C9,C4,C1,C2,C14";"C_0603_HandSoldering";6;"100n";;;
14;"C11";"C_0603_HandSoldering";1;"1µ";;;
15;"C12";"C_0603_HandSoldering";1;"680p";;;
16;"C13,C15";"C_0603_HandSoldering";2;"22p";;;
17;"C16";"C_0603_HandSoldering";1;"47p";;;
18;"R7,R9";"R_0603_HandSoldering";2;"1M";;;
19;"R10,R11,R18,R5,R6,R12,R13,R26";"R_0603_HandSoldering";8;"10k";;;
20;"R16";"R_0603_HandSoldering";1;"845k";;;
21;"R17";"R_0603_HandSoldering";1;"158k";;;
22;"U2";"MAX-M8";1;"MAX-M8C/Q";;;
23;"U4,U6";"RFM9xW";2;"RFM9*";;;
24;"D1";"LED_0603";1;"OK_Green";;;
25;"D2";"LED_0603";1;"WARN_Red";;;
26;"D3";"LED_0603";1;"Inet_Green";;;
27;"D4";"LED_0603";1;"LAN_Yellow";;;
28;"D5";"LED_0603";1;"DATA0_Red";;;
29;"D6";"LED_0603";1;"DATA1_Red";;;
30;"R1";"R_0603_HandSoldering";1;"10";;;
31;"R3";"R_0603_HandSoldering";1;"20k";;;
32;"R19";"R_0603_HandSoldering";1;"47k";;;
33;"U8";"BME280";1;"BME280";;;
34;"Q2";"SOT-23-6_Handsoldering";1;"Q_PNP_dual";;;
35;"P14";"SMD_2";1;"BATT";;;
36;"U3";"MTX2";1;"MTX2";;;
37;"R2,R4";"R_0603_HandSoldering";2;"4k7";;;
